"Цена","Название","Владелец","Доступно"
573900,"Элегантный фламберг со знаком вепря (57)","",1
573900,"Элегантный фламберг со знаком тигра (57)","",1
555500,"Дренейский боевой клинок (72)","",1
555500,"Демонический клинок с печатью могущества (62)","",1
550000,"Нефритовый змеиный клинок (35)","",3
540000,"Кортик Новолуния (45)","",16
509800,"Свеча Зимнего Покрова (1)","",2
507900,"Кайло 5000 (45)","",2
507800,"Адамантитовый колун (105)","",7
507800,"Длинный посох мага с аурой магии (58)","",1
507800,"Длинный посох мага с аурой магии (58)","",1
507800,"Длинный посох мага со знаком орла (58)","",1
507800,"Длинный посох мага с печатью выносливости (58)","",1
507000,"Стальной Коготь (38)","",2
502800,"Застывшие метательные клинки со знаком мартышки (182)","",1
502000,"Колоссальная секира с меткой преступника (99)","",1
501700,"Посох Апокалипсиса с меткой зверя (182)","",1
500000,"Боевая коса с меткой зверя (102)","",1
500000,"Коса со знаком духа (81)","",1
500000,"Топор вождя со знаком вепря (58)","",1
500000,"Чекан судьи (52)","",2
495000,"Топор шквала (47)","",17
450000,"Пирамидообразный сюрикен с меткой зверя (174)","",1
434300,"Коса со знаком ловкости (81)","",1
407200,"Смертоносный топор со знаком ловкости (63)","",1
407000,"Прочная железная кувалда (31)","",3
405000,"Мясник (31)","",2
401500,"Нож воина с печатью могущества (17)","",2
401500,"Нож воина с печатью могущества (17)","",2
400900,"Сабля жестокой сечи со знаком мартышки (62)","",1
400000,"Пирамидообразный сюрикен с меткой победителя (174)","",2
400000,"Пирамидообразный сюрикен с меткой преступника (174)","",2
400000,"Пирамидообразный сюрикен со знаком интеллекта (174)","",1
400000,"Пирамидообразный сюрикен со знаком вепря (174)","",1
400000,"Северный короткий меч с печатью могущества (18)","",1
399900,"Длинный лук с перьями руха (162)","",10
393000,"Посох мага Новолуния (45)","",26
390000,"Боевая перчатка расплаты (88)","",8
390000,"Потрошительница с меткой преступника (105)","",1
390000,"Потрошительница со знаком кита (105)","",1
370000,"Коса со знаком вепря (81)","",2
359900,"Грубомолот со знаком орла (63)","",1
355000,"Бронзовый боевой топор (27)","",3
355000,"Радужный молот (28)","",5
354500,"Ударный кинжал (108)","",1
352600,"Позолоченный железный разрушитель (34)","",3
350300,"Топор рубаки со знаком ловкости (21)","",1
350000,"Боевая коса со знаком гориллы (102)","",1
350000,"Пылающая игла (51)","",4
350000,"Лечебный посох со знаком медведя (19)","",1
350000,"Лечебный посох со знаком медведя (19)","",1
350000,"Лечебный посох со знаком волка (19)","",2
350000,"Тяжелая бронзовая палица (25)","",3
339900,"Рука Эдварда Странного (62)","",3
338900,"Астральный коготь (108)","",4
334900,"Алебарда Скверны со знаком медведя (96)","",1
331500,"Нож воина с аурой природы (17)","",1
330000,"Нож воина со знаком ловкости (17)","",1
320000,"Кривой клинок Скеттиса с меткой старца (87)","",1
315500,"Бивень Бездны (108)","",4
309900,"Лишний шип Намлака (200)","",39
309500,"Острый как бритва разделочный нож (115)","",5
300000,"Большая кувалда со знаком мартышки (46)","",1
300000,"Огненная секира (40)","",7
292900,"Огромный ториевый боевой топор (56)","",28
290000,"Аномальный посох Забры (162)","",12
280000,"Безжалостный нож (39)","",4
259000,"Заточенный стилет с печатью могущества (30)","",1
259000,"Заточенный стилет с печатью могущества (30)","",1
253000,"Блеклая коса с меткой преступника (178)","",1
252200,"Боевая палица Луносвета со знаком мартышки (96)","",1
251700,"Кривой посох (20)","",2
251600,"Молот (21)","",1
251100,"Короткий кинжал (19)","",1
250800,"Джамбия (16)","",1
250600,"Палица (14)","",1
250200,"Трость (8)","",1
250200,"Стилет (8)","",2
250100,"Деревянная рапира (7)","",1
250100,"Кортик (3)","",1
250100,"Короткий посох (4)","",1
250100,"Дубина (3)","",1
250000,"Величественный скипетр Мелии (154)","",12
250000,"Пульсирующий боевой посох с меткой солдата (154)","",1
250000,"Кривой клинок Скеттиса с меткой победителя (87)","",1
250000,"Кривой клинок Скеттиса с меткой волшебника (87)","",2
250000,"Лечебный посох с аурой магии (19)","",1
250000,"Лечебный посох со знаком вепря (19)","",1
250000,"Тяжелый железный молот (30)","",2
249700,"Острие Эланора (146)","",14
248800,"Увещеватель капитана Карвера (146)","",16
240000,"Знамерез (154)","",9
240000,"Драконий зубодробитель (162)","",14
240000,"Заостренный мечелом Линдии (150)","",10
240000,"Тангенциальный вращатель (10)","",19
239900,"Животворная ветвь Лолы (138)","",15
239500,"Сокрушитель из окаменелого железного дерева (158)","",20
235000,"Хрустальный меч со знаком мартышки (57)","",1
230000,"Хрустальный меч с печатью выносливости (57)","",2
227100,"Тролльский уничтожитель с меткой старца (166)","",2
222300,"Спинолом со знаком силы (56)","",1
222200,"Большой посох из кровавого дерева (158)","",15
220000,"Тролльский уничтожитель со знаком медведя (166)","",1
220000,"Тролльский уничтожитель со знаком орла (166)","",1
220000,"Тролльский уничтожитель со знаком мартышки (166)","",1
220000,"Коса с меткой волшебника (81)","",1
219900,"Коса с меткой победителя (81)","",1
219900,"Коса с меткой преступника (81)","",2
219900,"Коса со знаком кита (81)","",1
219400,"Ударные когти (134)","",29
218900,"Коса со знаком волка (81)","",1
218800,"Боевой топор Алого ордена с меткой старца (182)","",1
218800,"Боевой топор Алого ордена со знаком гориллы (182)","",1
216400,"Клинок вторжения с меткой волшебника (182)","",1
205100,"Черный клык (25)","",2
202600,"Рикошетный мушкетон со знаком кита (48)","",1
202600,"Рикошетный мушкетон со знаком мартышки (48)","",1
202500,"Рассекающий широкий клинок со знаком совы (150)","",1
202100,"Серповидный луносветский топор с меткой заклинателя (102)","",1
202100,"Клинок измерений со знаком медведя (59)","",1
200500,"Ослоп скалящегося пса (47)","",1
200100,"Молот из оскверненного железа (96)","",1
200000,"Старая алебарда с меткой старца (158)","",1
200000,"Дротик, обмакнутый в скверну с меткой зверя (90)","",1
200000,"Дротик, обмакнутый в скверну со знаком сокола (90)","",1
200000,"Жезл Сияющей звезды со знаком сокола (57)","",1
200000,"Наемник (52)","",2
200000,"Ручной молот Мертвого Леса (37)","",9
200000,"Ослепительный длинный меч (41)","",9
199900,"Пепельная глефа с меткой победителя (150)","",1
199900,"Жезл Сияющей звезды со знаком совы (57)","",1
199700,"Пепельная глефа со знаком интеллекта (150)","",1
198900,"Старая алебарда с меткой зверя (158)","",3
198900,"Старая алебарда с меткой преступника (158)","",1
195500,"Рассекающий широкий клинок с меткой преступника (150)","",2
194500,"Рассекающий широкий клинок со знаком вепря (150)","",1
190000,"Дробящий боевой топор со знаком гориллы (166)","",1
190000,"Лютая коса с меткой победителя (111)","",2
190000,"Лютая коса с меткой зверя (111)","",1
190000,"Лютая коса со знаком духа (111)","",1
189900,"Дробящий боевой топор с меткой преступника (166)","",1
189900,"Дробящий боевой топор с меткой волшебника (166)","",1
187000,"Авулов меч Цинь (200)","",20
186400,"Прочный кобальтовый быстрый клинок (146)","",7
185300,"Боевой посох Календы с меткой зверя (111)","",1
183500,"Дворфская алебарда со знаком вепря (162)","",1
183500,"Дворфская алебарда со знаком совы (162)","",1
183000,"Дворфская алебарда с меткой старца (162)","",1
183000,"Дворфская алебарда со знаком кита (162)","",1
181400,"Сверкающий посох с меткой победителя (158)","",1
181400,"Сверкающий посох со знаком сокола (158)","",1
180000,"Дробящий боевой топор с меткой победителя (166)","",1
180000,"Палица из бедренной кости с меткой старца (162)","",1
180000,"Палица из бедренной кости с меткой зверя (162)","",1
180000,"Палица из бедренной кости со знаком интеллекта (162)","",1
180000,"Палица из бедренной кости со знаком совы (162)","",1
179200,"Заостренный посох с меткой победителя (114)","",1
176800,"Кованый кобальтовый клеймор (150)","",3
175900,"Телаарская коса с меткой старца (105)","",1
175900,"Телаарская коса с меткой преступника (105)","",1
175800,"Лук путника с меткой победителя (158)","",1
173800,"Коса ветра со знаком сокола (154)","",1
170500,"Оркский плоский лук со знаком орла (114)","",1
170100,"Посох цепкой лозы с меткой зверя (166)","",2
170000,"Тролльский тесак со знаком кита (162)","",2
168600,"Пристрелянный огнестрел (48)","",17
168400,"Посох цепкой лозы со знаком силы (166)","",2
167500,"Палица горгульи с меткой преступника (182)","",1
166600,"Топор Легиона (94)","",5
166200,"Гладкий ослоп со знаком орла (138)","",1
166000,"Гладкий ослоп с меткой старца (138)","",2
166000,"Гладкий ослоп со знаком совы (138)","",1
164800,"Защитный кинжал с меткой зверя (166)","",1
163900,"Посох путешественника с меткой зверя (134)","",1
163900,"Посох путешественника со знаком вепря (134)","",1
163900,"Посох путешественника со знаком гориллы (134)","",1
163900,"Посох путешественника со знаком совы (134)","",1
163700,"Посох путешественника с меткой преступника (134)","",1
163000,"Горящий боевой топор со знаком совы (142)","",1
162800,"Горящий боевой топор с меткой преступника (142)","",1
162800,"Горящий боевой топор с меткой заклинателя (142)","",1
162800,"Горящий боевой топор с меткой волшебника (142)","",1
161200,"Молот безмятежности со знаком орла (170)","",1
160000,"Молот безмятежности с меткой старца (170)","",1
160000,"Молот безмятежности со знаком интеллекта (170)","",1
160000,"Молот безмятежности со знаком кита (170)","",1
160000,"Палица из бедренной кости со знаком орла (162)","",1
159900,"Борейский дровокол со знаком совы (162)","",1
159900,"Короткий полуторный меч со знаком кита (12)","",1
159800,"Короткий клинок Кобры со знаком вепря (99)","",1
159800,"Короткий клинок Кобры со знаком совы (99)","",1
159300,"Королевский боевой молот с меткой старца (182)","",2
159000,"Короткий клинок Кобры со знаком сокола (99)","",1
158500,"Крушитель черепов со знаком медведя (47)","",1
158000,"Королевский боевой молот со знаком волка (182)","",1
158000,"Тренировочный меч со знаком кита (10)","",2
157900,"Королевский боевой молот с меткой волшебника (182)","",1
157700,"Разрубатель троллей с меткой старца (162)","",1
157700,"Разрубатель троллей со знаком силы (162)","",1
157500,"Грозный топор с меткой зверя (166)","",1
157300,"Тисовый лук со знаком силы (134)","",1
157300,"Тисовый лук со знаком волка (134)","",1
156800,"Вудуистский посох сглаза с меткой преступника (120)","",1
154600,"Ранящий гарпун с меткой преступника (138)","",1
154600,"Ранящий гарпун со знаком тигра (138)","",1
153200,"Грозный топор с меткой победителя (166)","",1
153200,"Грозный топор со знаком сокола (166)","",1
153000,"Дворфская алебарда с меткой преступника (162)","",3
152900,"Молот величавости (162)","",1
152900,"Молот величавости (162)","",1
152600,"Рикошетный мушкетон со знаком сокола (48)","",1
151700,"Посох Апокалипсиса с меткой победителя (182)","",2
151500,"Лук путника со знаком волка (158)","",1
151500,"Лук путника со знаком сокола (158)","",1
151500,"Лук путника со знаком совы (158)","",1
151400,"Посох лавины со знаком тигра (182)","",1
151000,"Посох лавины с меткой зверя (182)","",1
151000,"Посох лавины со знаком силы (182)","",1
150700,"Бумеранг с острой кромкой (105)","",1
150600,"Кремниевое ружье со знаком силы (134)","",1
150600,"Кремниевое ружье со знаком сокола (134)","",1
150000,"Ранящий гарпун со знаком кита (138)","",1
150000,"Крыловидный топор с меткой старца (154)","",1
150000,"Украшенный мехом палаш со знаком медведя (162)","",1
150000,"Тролльский тесак с меткой преступника (162)","",2
150000,"Королевский боевой молот с меткой победителя (182)","",1
150000,"Королевский боевой молот с меткой зверя (182)","",1
150000,"Палица из бедренной кости со знаком духа (162)","",1
150000,"Копье из рога прыгуаны (83)","",1
150000,"Кривой клинок Скеттиса с печатью выносливости (87)","",1
150000,"Кривой клинок Скеттиса со знаком кита (87)","",1
150000,"Топор геолога (20)","",10
150000,"Гниль (50)","",4
150000,"Крушитель черепов со знаком медведя (47)","",1
150000,"Крушитель черепов со знаком мартышки (47)","",1
150000,"Топор лесника со знаком тигра (23)","",1
149900,"Крыловидный топор с меткой зверя (154)","",1
149900,"Крыловидный топор со знаком кита (154)","",1
149900,"Талбукский охотничий лук с меткой победителя (105)","",1
149900,"Мозгоруб (60)","",7
149800,"Меч железного черепа с меткой зверя (120)","",1
149800,"Меч железного черепа с меткой преступника (120)","",1
149800,"Меч железного черепа со знаком духа (120)","",1
149500,"Знак Королевы с меткой старца (111)","",2
149500,"Знак Королевы со знаком орла (111)","",1
149000,"Знак Королевы со знаком кита (111)","",1
148100,"Плоский широкий топор со знаком мартышки (170)","",1
148000,"Плоский широкий топор со знаком ловкости (170)","",1
147900,"Плоский широкий топор со знаком волка (170)","",1
147900,"Плоский широкий топор со знаком совы (170)","",1
147200,"Дренетистовый молот с меткой солдата (108)","",1
147200,"Дренетистовый молот с меткой зверя (108)","",1
146900,"Шипастая дубина со знаком кита (13)","",1
146900,"Шипастая дубина со знаком мартышки (13)","",1
146900,"Шипастая дубина со знаком силы (13)","",1
145700,"Оскверненные боевые серпы со знаком кита (182)","",1
145000,"Тролльский тесак с печатью выносливости (162)","",1
145000,"Молот Халаани с меткой зверя (120)","",1
145000,"Молот Халаани со знаком сокола (120)","",1
145000,"Молот Халаани со знаком совы (120)","",1
143500,"Неподъемная булава с меткой зверя (174)","",1
143300,"Клеймор глубокой зимы со знаком мартышки (178)","",1
143000,"Клеймор глубокой зимы с меткой старца (178)","",2
143000,"Литая железная дубина со знаком мартышки (154)","",1
142900,"Неподъемная булава со знаком тигра (174)","",1
142900,"Неподъемная булава со знаком сокола (174)","",1
142900,"Неподъемная булава со знаком мартышки (174)","",1
142000,"Неподъемная булава с меткой победителя (174)","",3
142000,"Скалящийся топор со знаком силы (49)","",1
140800,"Бурый большой посох с печатью выносливости (142)","",1
140700,"Бурый большой посох со знаком тигра (142)","",3
140000,"Подогнанный мушкет со знаком интеллекта (130)","",1
140000,"Подогнанный мушкет со знаком тигра (130)","",1
140000,"Крученый длинный лук с меткой победителя (150)","",1
140000,"Пронзающая глефа с меткой преступника (166)","",1
140000,"Окаменелый меч с меткой победителя (174)","",1
140000,"Окаменелый меч с меткой зверя (174)","",1
140000,"Окаменелый меч с меткой преступника (174)","",2
140000,"Окаменелый меч со знаком тигра (174)","",1
140000,"Клинок из акульего плавника со знаком волка (142)","",1
140000,"Тролльский тесак со знаком мартышки (162)","",1
140000,"Длинный лук истребителя рухов с меткой победителя (111)","",1
140000,"Длинный лук истребителя рухов со знаком интеллекта (111)","",1
140000,"Длинный лук истребителя рухов со знаком волка (111)","",1
140000,"Кривой клинок Скеттиса со знаком вепря (87)","",1
140000,"Кривой клинок Скеттиса со знаком гориллы (87)","",3
140000,"Крушитель черепов со знаком медведя (47)","",1
139900,"Посох приспешника с меткой победителя (178)","",2
139900,"Посох приспешника с меткой старца (178)","",1
139900,"Посох приспешника с меткой зверя (178)","",1
139900,"Посох приспешника со знаком тигра (178)","",1
139900,"Посох приспешника со знаком медведя (178)","",1
139900,"Тролльский тесак со знаком орла (162)","",2
139800,"Океанский трезубец со знаком духа (130)","",1
139800,"Парадный топор палача со знаком сокола (111)","",1
139500,"Топор-ледокол с печатью выносливости (178)","",1
139300,"Большой пугающий посох со знаком медведя (111)","",1
139200,"Большой пугающий посох со знаком тигра (111)","",1
139000,"Крученый длинный лук с меткой зверя (150)","",1
139000,"Крученый длинный лук со знаком тигра (150)","",2
139000,"Крученый длинный лук со знаком волка (150)","",1
139000,"Крученый длинный лук со знаком вепря (150)","",1
139000,"Крученый длинный лук со знаком сокола (150)","",1
139000,"Крученый длинный лук со знаком кита (150)","",1
138900,"Магнетитовый молот со знаком вепря (178)","",1
138800,"Магнетитовый молот со знаком совы (178)","",1
138700,"Посох из хрустального дерева с меткой зверя (178)","",4
138700,"Посох из хрустального дерева с печатью выносливости (178)","",1
138700,"Посох из хрустального дерева со знаком тигра (178)","",1
138700,"Посох из хрустального дерева со знаком медведя (178)","",1
138500,"Ребристый боевой топор с меткой старца (130)","",1
138500,"Ребристый боевой топор с меткой заклинателя (130)","",1
138000,"Топор-ледокол с меткой старца (178)","",1
137000,"Ослоп лесоруба с меткой зверя (166)","",1
137000,"Ослоп лесоруба с меткой волшебника (166)","",2
136700,"Нож воина с аурой магии (17)","",1
136700,"Нож воина со знаком силы (17)","",4
136000,"Проклятый посох со знаком ловкости (174)","",1
136000,"Ослоп лесоруба с меткой солдата (166)","",1
135700,"Оскверненные боевые серпы с меткой солдата (182)","",1
135700,"Оскверненные боевые серпы со знаком совы (182)","",1
135500,"Инкрустированный большой меч с меткой зверя (158)","",1
135500,"Инкрустированный большой меч со знаком силы (158)","",1
135500,"Примитивный ятаган со знаком волка (166)","",1
135500,"Примитивный ятаган со знаком гориллы (166)","",1
135500,"Примитивный ятаган со знаком мартышки (166)","",1
135000,"Посох зимнего цветения с меткой зверя (174)","",2
135000,"Посох зимнего цветения с печатью выносливости (174)","",1
135000,"Посох зимнего цветения со знаком тигра (174)","",4
135000,"Топор-ледокол со знаком совы (178)","",1
135000,"Проклятый посох с меткой солдата (174)","",1
135000,"Проклятый посох со знаком силы (174)","",1
135000,"Проклятый посох со знаком кита (174)","",1
135000,"Проклятый посох со знаком орла (174)","",1
134200,"Разрывающий топор с меткой заклинателя (174)","",2
134200,"Разрывающий топор с меткой волшебника (174)","",1
134200,"Разрывающий топор со знаком вепря (174)","",1
134200,"Разрывающий топор со знаком кита (174)","",1
134000,"Разрывающий топор с меткой старца (174)","",1
134000,"Разрывающий топор с меткой солдата (174)","",1
134000,"Разрывающий топор с меткой зверя (174)","",1
134000,"Разрывающий топор со знаком мартышки (174)","",1
133900,"Топор-ледокол со знаком орла (178)","",1
133300,"Костяной колун со знаком гориллы (142)","",1
133300,"Костяной колун со знаком орла (142)","",1
133000,"Блеклая коса с меткой старца (178)","",1
133000,"Блеклая коса со знаком силы (178)","",1
133000,"Испоганенный посох со знаком интеллекта (170)","",1
133000,"Испоганенный посох со знаком ловкости (170)","",1
133000,"Испоганенный посох со знаком тигра (170)","",1
133000,"Испоганенный посох со знаком кита (170)","",2
133000,"Литая железная дубина со знаком сокола (154)","",2
132000,"Замерзший боевой клинок с меткой преступника (170)","",1
132000,"Замерзший боевой клинок со знаком кита (170)","",1
132000,"Славная секира с меткой старца (105)","",1
132000,"Славная секира со знаком волка (105)","",1
131600,"Отражающий посох с меткой зверя (105)","",1
131600,"Отражающий посох со знаком силы (105)","",1
131500,"Замерзший боевой клинок с меткой старца (170)","",1
131500,"Замерзший боевой клинок со знаком силы (170)","",1
131500,"Древко Нгуни с меткой преступника (108)","",1
130000,"Посох низвергающейся воды с меткой зверя (170)","",4
130000,"Посох гейзера со знаком медведя (162)","",2
130000,"Подогнанный мушкет со знаком мартышки (130)","",1
130000,"Точный короткий лук с меткой победителя (166)","",1
130000,"Океанский трезубец с меткой преступника (130)","",2
130000,"Океанский трезубец со знаком кита (130)","",1
130000,"Пульсирующий боевой посох с меткой преступника (154)","",1
130000,"Пульсирующий боевой посох со знаком гориллы (154)","",1
130000,"Украшенный мехом палаш со знаком гориллы (162)","",1
130000,"Инкрустированный большой меч с меткой преступника (158)","",1
130000,"Клинок из акульего плавника с меткой победителя (142)","",2
130000,"Клинок из акульего плавника со знаком тигра (142)","",1
130000,"Клинок из акульего плавника со знаком сокола (142)","",1
130000,"Длинный лук истребителя рухов со знаком вепря (111)","",1
130000,"Длинный лук истребителя рухов со знаком сокола (111)","",1
130000,"Длинный лук истребителя рухов со знаком кита (111)","",1
130000,"Кровавая бритва (50)","",15
129900,"Чумная пика с меткой победителя (174)","",1
129900,"Чумная пика с меткой старца (174)","",1
129900,"Чумная пика с меткой преступника (174)","",2
129900,"Чумная пика со знаком силы (174)","",3
129900,"Чумная пика с печатью выносливости (174)","",1
129900,"Чумная пика со знаком гориллы (174)","",1
129900,"Чумная пика со знаком совы (174)","",2
129900,"Брошенное копье с меткой преступника (170)","",1
129900,"Брошенное копье со знаком кита (170)","",1
129900,"Брошенное копье со знаком орла (170)","",2
129900,"Мясодеры с меткой заклинателя (130)","",1
129900,"Длинный лук истребителя рухов с меткой преступника (111)","",4
129800,"Арктический боевой молот со знаком сокола (170)","",1
129500,"Посох низвергающейся воды со знаком силы (170)","",1
129500,"Посох низвергающейся воды со знаком медведя (170)","",2
129500,"Облегченные костяные кастеты с меткой победителя (174)","",2
129500,"Облегченные костяные кастеты с меткой зверя (174)","",2
129500,"Облегченные костяные кастеты со знаком кита (174)","",1
129500,"Облегченные костяные кастеты со знаком мартышки (174)","",1
129500,"Ритуальный большой посох со знаком сокола (162)","",1
129000,"Облегченные костяные кастеты с меткой преступника (174)","",6
129000,"Облегченные костяные кастеты со знаком интеллекта (174)","",1
129000,"Облегченные костяные кастеты со знаком вепря (174)","",2
128900,"Выкопанный скипетр с меткой старца (158)","",3
128500,"Ребристый боевой топор с меткой победителя (130)","",1
128500,"Ребристый боевой топор с меткой преступника (130)","",2
128500,"Ребристый боевой топор со знаком тигра (130)","",1
128500,"Ребристый боевой топор со знаком вепря (130)","",1
128500,"Ребристый боевой топор со знаком мартышки (130)","",1
127900,"Шипастый большой посох с меткой преступника (166)","",2
127900,"Шипастый большой посох со знаком ловкости (166)","",1
127700,"Посох Возмездия со знаком тигра (102)","",1
127500,"Клыкаррская деревянная рапира с меткой старца (142)","",1
127500,"Клыкаррская деревянная рапира с меткой заклинателя (142)","",1
127500,"Сюрикен убийцы с меткой преступника (120)","",4
127500,"Сюрикен убийцы со знаком гориллы (120)","",1
127500,"Сюрикен убийцы со знаком медведя (120)","",1
127400,"Сюрикен убийцы с меткой победителя (120)","",1
127400,"Сюрикен убийцы со знаком мартышки (120)","",1
127000,"Клыкаррская деревянная рапира с меткой волшебника (142)","",2
127000,"Клыкаррская деревянная рапира со знаком тигра (142)","",1
126300,"Самодельная удлиненная винтовка со знаком волка (178)","",1
126000,"Лунный клинок с меткой старца (108)","",1
126000,"Лунный клинок со знаком духа (108)","",1
126000,"Лунный клинок со знаком вепря (108)","",1
125900,"Изогнутый лук следопыта со знаком волка (108)","",1
125900,"Изогнутый лук следопыта со знаком орла (108)","",1
125000,"Покрытая ржавчиной алебарда со знаком орла (142)","",1
123500,"Топор лесоруба со знаком ловкости (158)","",1
123400,"Запятнанный кровью молот с меткой победителя (105)","",1
123400,"Запятнанный кровью молот со знаком интеллекта (105)","",1
123000,"Палица погребения с меткой победителя (150)","",2
123000,"Палица погребения с меткой старца (150)","",2
122900,"Посох Очищения с меткой зверя (108)","",2
122200,"Звенящий колун с меткой зверя (134)","",1
122200,"Звенящий колун со знаком сокола (134)","",1
122100,"Цитадельский арбалет с меткой зверя (90)","",1
122100,"Цитадельский арбалет со знаком сокола (90)","",1
121400,"Топор лесоруба с меткой победителя (158)","",2
121200,"Топор с серебряной кромкой с меткой волшебника (99)","",1
121200,"Топор с серебряной кромкой со знаком силы (99)","",1
121200,"Топор с серебряной кромкой со знаком духа (99)","",1
121200,"Топор с серебряной кромкой со знаком гориллы (99)","",1
121100,"Звенящий колун с меткой солдата (134)","",1
